x,y
0.708772111,-6.055072417
-1.802443118,-1.760230801
0.181673315,-3.372063132
-8.644081705,4.450036702
5.357965794,-5.623321024
-3.552632955,-1.867110465
-4.731734226,-3.498681889
4.881316615,6.438130542
-7.485466684,-0.709428871
-4.946537537,3.586015091
1.994370679,2.180107185
1.186544158,-0.12665135
-9.179729544,6.486792657
6.962365078,-3.593780028
-2.767563495,-2.920755326
-7.043066849,7.575092766
6.756004733,1.100187825
1.521953358,-2.290452883
4.845228282,-3.176910485
4.753900903,3.559569577
-2.675569706,-2.770357402
-4.501586043,-7.412309576
4.395077074,3.914517108
6.501615486,-3.049384553
-6.123453601,-4.412138415
-6.573811742,4.052899101
1.438125146,-0.403060583
-7.206360944,-3.337384965
-7.740446593,5.56751747
0.692392779,-2.751163021
0.208641728,-2.589549507
2.313093398,-2.275912311
-4.23171097,-0.114247918
-10.69277383,0.925387113
-2.11372422,5.280986518
6.033054921,-0.461890835
-1.470444429,-0.064662503
-2.941048,5.555465542
-5.455219575,-6.887814624
1.320558731,-5.188553729
-2.942081611,7.978466263
7.883878343,-4.091865841
4.137386513,2.361192016
2.105845737,-5.154732389
-3.697599142,5.973227539
-1.628997466,-0.9795139
3.219206794,-6.568261527
0.337152316,-3.07588026
7.186762796,2.79225523
-4.558058274,-5.329657477
-8.503510895,6.436394257
-2.585509805,0.916018028
-5.620627051,6.24344756
-1.414890209,3.801906269
-2.343819817,5.060928694
6.44710668,-5.15978207
-1.07749236,-0.379983264
-6.133430972,-7.66548295
2.186673543,-7.37601607
5.071650142,-2.349845901
6.687778909,-4.164655198
6.531575339,2.811644223
-8.593161031,0.887920757
-3.903017597,8.427645995
-2.987531782,5.124074392
-5.468719395,-5.417020813
-1.642888974,-3.766497997
3.558586571,0.157357961
-6.943335138,3.715741763
-5.889970297,-6.951963152
4.320547733,-2.72208142
2.547079794,-1.742574786
-7.922675946,-1.947286011
-5.458963707,-5.974716721
-4.086241848,2.732706071
4.905300964,-3.675456734
6.457852217,-4.937161875
1.362972771,-7.544092057
-5.895800642,-0.196093092
3.810451905,-1.97549012
3.224631428,-7.998484189
2.815139039,-5.228800626
-6.282780886,4.737334676
-4.644327423,-7.902279216
0.630360633,-5.775578819
5.313325958,-2.920075813
-7.805394605,8.918810937
7.130650798,-4.403033062
0.890031471,-2.031044045
4.116026669,-6.333381624
5.988327378,-1.107216015
6.761595026,-2.724339805
2.033866881,-4.370106985
-0.910701664,-1.885421809
7.257861868,3.130596813
-4.307026451,5.777893971
-2.719704856,2.34877817
3.542851838,-3.572041982
1.747616543,-9.394937659
-4.581039664,-8.20261523
-0.28585843,-8.938830249
-3.047011387,3.079798713
4.486963653,3.61320922
6.482603344,-8.119773664
4.215570841,-6.186982459
5.300121042,5.408523016
2.228290197,-9.240488203
-5.348398942,7.181883291
-3.328539567,-9.197706266
5.638151264,-5.064509438
-2.916122924,2.976173586
